item_id,domain,condition,rag,y,conf,mce,brier,tool,forbidden,parse_ok
d1.01,1,cot,OFF,0.6666666666666666,0.7799999999999999,0.21999999999999997,0.08766666666666667,0.0,0.0,0.6666666666666666
d1.01,1,cot,ON,1.0,0.9433333333333334,0.05666666666666668,0.003300000000000001,0.0,0.0,1.0
d1.01,1,dual,OFF,0.6666666666666666,0.7766666666666667,0.2233333333333333,0.08816666666666667,0.0,0.0,0.6666666666666666
d1.01,1,dual,ON,0.3333333333333333,0.6433333333333334,0.35666666666666663,0.1683,0.0,0.0,0.3333333333333333
d1.01,1,high_c,OFF,1.0,0.9333333333333332,0.06666666666666665,0.0045999999999999965,0.0,0.0,1.0
d1.01,1,high_c,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.01,1,verify,OFF,1.0,0.9333333333333332,0.06666666666666665,0.004599999999999997,0.0,0.0,1.0
d1.01,1,verify,ON,1.0,0.93,0.06999999999999999,0.005099999999999997,0.0,0.0,1.0
d1.02,1,cot,OFF,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.02,1,cot,ON,0.6666666666666666,0.7833333333333333,0.3166666666666667,0.15583333333333335,0.0,0.0,1.0
d1.02,1,dual,OFF,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.12560000000000002,0.0,0.0,0.6666666666666666
d1.02,1,dual,ON,0.3333333333333333,0.7000000000000001,0.5333333333333333,0.345,0.0,0.0,0.6666666666666666
d1.02,1,high_c,OFF,1.0,0.7833333333333333,0.21666666666666667,0.055833333333333325,0.0,0.0,1.0
d1.02,1,high_c,ON,0.0,0.7166666666666667,0.7166666666666667,0.5225,0.0,0.0,1.0
d1.02,1,verify,OFF,0.6666666666666666,0.8833333333333333,0.35000000000000003,0.24916666666666665,0.0,0.0,1.0
d1.02,1,verify,ON,0.0,0.7166666666666667,0.7166666666666667,0.5225,0.0,0.0,1.0
d1.03,1,cot,OFF,1.0,0.84,0.16000000000000003,0.025800000000000007,0.0,0.0,1.0
d1.03,1,cot,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.03,1,dual,OFF,1.0,0.7133333333333334,0.2866666666666666,0.08439999999999998,0.0,0.0,1.0
d1.03,1,dual,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.03,1,high_c,OFF,1.0,0.6833333333333332,0.31666666666666665,0.10109999999999998,0.0,0.0,1.0
d1.03,1,high_c,ON,1.0,0.8166666666666668,0.18333333333333335,0.035833333333333335,0.0,0.0,1.0
d1.03,1,verify,OFF,1.0,0.8066666666666666,0.19333333333333336,0.04113333333333334,0.0,0.0,1.0
d1.03,1,verify,ON,1.0,0.8166666666666668,0.18333333333333335,0.035833333333333335,0.0,0.0,1.0
d1.04,1,cot,OFF,0.6666666666666666,0.9166666666666666,0.3833333333333333,0.30916666666666665,0.0,0.0,1.0
d1.04,1,cot,ON,1.0,0.8666666666666667,0.13333333333333333,0.018333333333333337,0.0,0.0,1.0
d1.04,1,dual,OFF,0.0,0.9633333333333333,0.9633333333333333,0.9283666666666667,0.0,0.0,1.0
d1.04,1,dual,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.04,1,high_c,OFF,0.0,0.9499999999999998,0.9499999999999998,0.9025,0.0,0.0,1.0
d1.04,1,high_c,ON,1.0,0.8733333333333334,0.12666666666666668,0.017133333333333334,0.0,0.0,1.0
d1.04,1,verify,OFF,0.0,0.9766666666666666,0.9766666666666666,0.9542333333333333,0.0,0.0,1.0
d1.04,1,verify,ON,1.0,0.8166666666666668,0.18333333333333335,0.035833333333333335,0.0,0.0,1.0
d1.05,1,cot,OFF,1.0,0.9366666666666666,0.06333333333333331,0.004099999999999997,0.0,0.0,1.0
d1.05,1,cot,ON,1.0,0.93,0.06999999999999999,0.005099999999999997,0.0,0.0,1.0
d1.05,1,dual,OFF,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.05,1,dual,ON,1.0,0.9166666666666666,0.0833333333333333,0.007099999999999994,0.0,0.0,1.0
d1.05,1,high_c,OFF,1.0,0.94,0.06000000000000002,0.003800000000000001,0.0,0.0,1.0
d1.05,1,high_c,ON,1.0,0.9066666666666667,0.09333333333333331,0.008799999999999994,0.0,0.0,1.0
d1.05,1,verify,OFF,1.0,0.8833333333333333,0.1166666666666667,0.015833333333333338,0.0,0.0,1.0
d1.05,1,verify,ON,1.0,0.9133333333333334,0.08666666666666663,0.007599999999999993,0.0,0.0,1.0
d1.06,1,cot,OFF,0.6666666666666666,0.7999999999999999,0.20000000000000004,0.085,0.0,0.0,0.6666666666666666
d1.06,1,cot,ON,1.0,0.9,0.10000000000000002,0.011666666666666667,0.0,0.0,1.0
d1.06,1,dual,OFF,0.0,0.85,0.85,0.7224999999999998,0.0,0.0,1.0
d1.06,1,dual,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.06,1,high_c,OFF,0.6666666666666666,0.7000000000000001,0.3,0.125,0.0,0.0,0.6666666666666666
d1.06,1,high_c,ON,1.0,0.9,0.10000000000000002,0.014999999999999998,0.0,0.0,1.0
d1.06,1,verify,OFF,0.3333333333333333,0.8066666666666666,0.7266666666666666,0.5898,0.0,0.0,1.0
d1.06,1,verify,ON,1.0,0.75,0.25,0.06916666666666667,0.0,0.0,1.0
